ID,Suburb
251,ROSEDALE - KLEIN VLEI
529,ROSENDAL
633,ROSENPARK
247,ROTTERDAM
313,ROUNDHAY
382,ROUXVILLE
341,ROYAL ASCOT
406,RUGBY
95,RUITERSHOOGTE
377,RUSTDAL
428,RUWARI
459,RUYTERWACHT
352,RYLANDS
502,SABATA DALINDYEBO SQUARE
637,SACK'S CIRCLE INDUSTRIA
610,SALT RIVER
424,SAND INDUSTRIA
490,SANDDRIFT
433,SANDOWN
329,SANDVLEI
167,SANLAMHOF
604,SAREPTA
378,SAXENBURG PARK 1
297,SAXENBURG PARK 2
344,SAXON INDUSTRIAL
90,SAXONSEA
29,SAXONWOOD
456,SCARBOROUGH
271,SCHONENBERG
667,SCHOONGEZICHT
504,SCOTTSDENE
131,SCOTTSVILLE
272,SEA BREEZE PARK
757,SEA POINT
460,SEAWINDS
539,SELBORNE
564,SERCOR PARK
80,SHERWOOD
24,SHIRLEY PARK
492,SIGNAL HILL / LIONS HEAD
65,SILVEROAKS
439,SILVERSANDS
289,SILVERTAS
397,SILVERTOWN
45,SILVERTOWN - KHAYELITSHA
315,SILWERBOOMKLOOF
444,SIMON'S TOWN
596,SIR LOWRY'S PASS
278,SIR LOWRY'S PASS VILLAGE CENTRE
185,SIRROCCO'S
674,SITARI COUNTRY ESTATE
478,SMARTIE TOWN
292,SMITSWINKELBAAI
63,SOMERSET FOREST
270,SOMERSET RIDGE
701,SOMERSET WEST
512,SOMERSET WEST BUSINESS PARK
364,SOMERSET WEST COUNTRY CLUB
653,SOMERSET WEST NATURE RESERVE
420,SONEIKE I
381,SONEIKE II
28,SONKRING
419,SONNEKUIL
121,SONNENDAL
549,SONSTRAAL
548,SONSTRAAL HEIGHTS
665,SOUTHFIELD
565,SOUTHFORK
314,SPANISH FARM
43,SPRINGBOKPARK
2,SPRINGFIELD
593,ST DUMAS
723,ST JAMES
141,ST MICHAELS
473,STEENBERG
469,STEENBRAS VIEW
546,STELLENBERG
732,STELLENBOSCH FARMS
296,STELLENBOSCH FARMS (BLUE DOWNS)
376,STELLENBOSCH FARMS (KUILSRIVIER)
534,STELLENBOSCH UNIV
458,STELLENDALE
533,STELLENRIDGE
560,STELLENRYK
436,STIKLAND
543,STIKLAND HOSPITAAL
613,STIKLAND INDUSTRIA
754,STRAND
303,STRAND GOLF CLUB
567,STRAND INDUSTRIA
426,STRANDFONTEIN
72,STRANDVALE
422,STUART'S HILL
491,SUMMER GREENS
137,SUMMERVILLE
62,SUN CITY
13,SUN VALLEY
36,SUNBIRD PARK
506,SUNNINGDALE
699,SUNNYDALE
356,SUNRIDGE
450,SUNSET BEACH
443,SURREY ESTATE
162,SYBRAND PARK
475,TABLE MOUNTAIN
709,TABLE VIEW
494,TAFELSIG
88,TAMBOERSKLOOF
577,TEMPERANCE TOWN
37,THE CONIFERS
103,THE CREST
217,THE HAGUE
66,THE LINK
690,THE RANGE
696,THE STABLES
634,THEMBOKWEZI
19,THORNTON
743,THREE ANCHOR BAY
589,TIJGERHOF
612,TOKAI
663,TOWNSEND ESTATE
520,TRANSNET MARSHALLING YARD
31,TRE DONNE
170,TRIANGLE FARM
58,TURTLE CREEK
7,TUSCANY GLEN
773,TWIN PALMS
71,TYGERBERG HOSPITAL
657,TYGERDAL
531,TYGERVALLEY
118,TYGERVALLEY WATERFRONT
205,UITSIG
484,UITZICHT
650,UMRHABULO TRIANGLE
638,UWC
165,VALHALLA PARK
742,VALMARY PARK
563,VAN DER STEL
112,VAN RIEBEECKSHOF
35,VANGUARD ESTATE
659,VASCO ESTATE
622,VERGESIG
8,VICTORIA MXENGE
305,VICTORIA PARK
94,VIERLANDEN
110,VIKING VILLAGE
174,VOELVLEI
